,Category,Sub-Category,Number_of_Products
1336,Kids Bedroom Storage,Tallboys,13
1337,Kids Bed Linen,Cushions,38
1338,Kids Bed Linen,Quilt Cover Sets,45
1339,Kids Bed Linen,Sheet Sets,6
1340,Wall Tiles,Floor Tiles,7
1341,Wall Tiles,Wall Tiles,21
1342,Floor Tiles,Floor Heating Products,1
1343,Floor Tiles,Floor Tiles,153
1344,Drop in Bath,Baths,14
1345,Drop in Bath,Inset Baths,21
1346,Drop in Bath,Spa Baths,1
1347,Freestanding Bath ,Bath & Bath Stands,1
1348,Freestanding Bath ,Baths,49
1349,Freestanding Bath ,Baths & Bath Stands,1
1350,Freestanding Bath ,Baths & Spas,1
1351,Freestanding Bath ,Freestanding Baths,32
1352,Freestanding Bath ,Inset Baths,3
1353,Drop in Spas,Baths,4
1354,Drop in Spas,Inset Baths,1
1355,Drop in Spas,Spa Baths,21
1356,Freestanding Spas,Baths & Spas,1
1357,Freestanding Spas,Freestanding Baths,1
1358,Freestanding Spas,Spa Baths,2
1359,Mixers & Tapware,Basin & Bath Spouts,3
1360,Mixers & Tapware,Basin Mixers,137
1361,Mixers & Tapware,Sink Mixer,2
1362,Mixers & Tapware,Taps,25
1363,Mixers & Tapware,Tapware,93
1364,3-Piece Tapware ,Basin & Bath Spouts,1
1365,3-Piece Tapware ,Basin Sets,13
1366,3-Piece Tapware ,Bath Sets,7
1367,3-Piece Tapware ,Bathroom Accessories,1
1368,3-Piece Tapware ,Freestanding Bath Mixers,3
1369,3-Piece Tapware ,Showers,20
1370,3-Piece Tapware ,Taps,1
1371,3-Piece Tapware ,Tapware,17
1372,Basin & Bath Spouts ,Basin & Bath Spouts,48
1373,Basin & Bath Spouts ,Basins,1
1374,Basin & Bath Spouts ,Sink Mixer,1
1375,Basin & Bath Spouts ,Spout,3
1376,Basin & Bath Spouts ,Tapware,16
1377,Shower Heads & Arms,Bathroom Accessories,14
1378,Shower Heads & Arms,Ceiling Shower Arms,16
1379,Shower Heads & Arms,Shower Arms,9
1380,Shower Heads & Arms,Shower Head,1
1381,Shower Heads & Arms,Shower Mixer,1
1382,Shower Heads & Arms,Showers,134
1383,Shower Heads & Arms,Taps,3
1384,Shower Heads & Arms,Tapware,51
1385,Kitchen Sinks & Accessories ,Showers,1
1386,Kitchen Sinks & Accessories ,Sink Mixer,1
1387,Kitchen Sinks & Accessories ,Sinks,48
1388,Kitchen Sinks & Accessories ,Tapware,2
1389,Baskets & Caddys,Baskets & Caddys,2
1390,Baskets & Caddys,Bathroom Accessories,4
1391,Baskets & Caddys,Cup Holders,2
1392,Baskets & Caddys,Custom Shower Screens,1
1393,Baskets & Caddys,Floor Heating Products,8
1394,Baskets & Caddys,Soap Dishes,10
1395,Robe Hooks,Robe Hooks,42
1396,Shelves & Holders,Bathroom Accessories,2
1397,Shelves & Holders,Cup Holders,4
1398,Shelves & Holders,Shelves,48
1399,Shelves & Holders,Soap Dishes,12
1400,Shelves & Holders,Toilet Roll Holders,1
1401,Shelves & Holders,Towel Rails,2
1402,Toilet Brush Set,Toilet Brush Holders,4
1403,Bathroom Rails,Bathroom Accessories,6
1404,Bathroom Rails,Grip Rails,3
1405,Bathroom Rails,Heated Towel Rails,1
1406,Bathroom Rails,Shelves,2
1407,Bathroom Rails,Soap Dishes,1
1408,Bathroom Rails,Towel Rails,112
1409,Bathroom Rails,Towel Rings,9
1410,Guest Towel Holders,Bathroom Accessories,2
1411,Guest Towel Holders,Towel Rails,6
1412,Guest Towel Holders,Towel Rings,23
1413,Close Coupled & Link Toilets ,Back to Wall Toilets,1
1414,Close Coupled & Link Toilets ,Close Coupled Toilets,8
1415,Close Coupled & Link Toilets ,Toilets,2
1416,Back to Wall Toilets ,Back to Wall Toilets,19
1417,Back to Wall Toilets ,Close Coupled Toilets,1
1418,Back to Wall Toilets ,Toilet Suite,3
1419,Back to Wall Toilets ,Toilets,6
1420,Wall Face Toilets ,Back to Wall Toilets,1
1421,Wall Face Toilets ,Close Coupled Toilets,1
1422,Wall Face Toilets ,Toilets,62
1423,Wall Hung Toilets ,Toilets,40
1424,Inwall Cistern & Buttons,Flush Plates,9
1425,Inwall Cistern & Buttons,Toilets,3
1426,Toilet Seats & Bidettes ,Toilet Seats,1
1427,Toilet Seats & Bidettes ,Toilet Training,3
1428,Toilet Seats & Bidettes ,Toilets,15
1429,Above Counter Basins ,Basins,16
1430,Above Counter Basins ,Ceramic Basins,36
1431,Above Counter Basins ,Sinks,25
1432,Vanity Basins ,Basins,3
1433,Vanity Basins ,Vanities,2
1434,Drop In & Semi Recess Basins,Basins,4
1435,Drop In & Semi Recess Basins,Ceramic Basins,10
1436,Drop In & Semi Recess Basins,Sinks,1
1437,Under-Counter Basins ,Ceramic Basins,7
1438,Under-Counter Basins ,Sinks,7
1439,Wall & Pedestal Basins,Basins,9
1440,Wall & Pedestal Basins,Ceramic Basins,8
1441,Wall & Pedestal Basins,Shower Mixer,1
1442,Wall & Pedestal Basins,Tapware,3
1443,Floor Grates,Floor Grates,35
1444,Plug & Waste Traps,Bottle Traps,4
1445,Plug & Waste Traps,Plug & Wastes,2
1446,Bathroom Vanity Units,Cabinets,6
1447,Bathroom Vanity Units,Vanities,55
1448,Bathroom Vanity Units,Wall Hung Vanities,3
1449,Tall Boy & Wall Units ,Tallboys,4
1450,Shaving Cabinets ,Cabinets,17
1451,Shaving Cabinets ,Tallboys,1
1452,Shaving Cabinets ,Vanities,7
1453,Bathroom Mirrors ,Cabinets,1
1454,Bathroom Mirrors ,Mirrors,53
1455,Bathroom Mirrors ,Vanities,1
1456,Laundry Tubs & Units ,Basins,1
1457,Laundry Tubs & Units ,Cabinets,2
1458,Laundry Tubs & Units ,Sinks,6
1459,Laundry Tubs & Units ,Vanities,1
1460,Laundry Cabinets ,Cabinets,4
1461,Timber Flooring,Floor Polishers,1
1462,Timber Flooring,Flooring,4
1463,Timber Flooring,Timber,18
1464,Laminate Flooring,Laminate,35
1465,Vinyl Flooring & Vinyl Tiles,Flooring,1
1466,Vinyl Flooring & Vinyl Tiles,Vinyl,7
1467,Vinyl Flooring & Vinyl Tiles,Vinyl Tiles,23
1468,Bamboo Flooring,Bamboo,5
1469,Waterproof Flooring,Hybrid,6
1470,Waterproof Flooring,Waterproof Flooring,16
1471,Carpet,Carpet,224
1472,Carpet Underlay,Underlays,3
1473,All Rugs,Rugs,273
1474,Traditional Rugs,Rugs,2
1475,Modern Rugs,Rugs,203
1476,Shaggy Rugs,Rugs,44
